aback                                    смущенный,захваченный врасплох
discrepancy                              различие,противоречие,несоответствие,расхождение; нарушение работоспособности
discrete I                               отдельный,разъединенный,раздельный,дискретный,прерывный
discrete II                              прерывистый,разрывный
discrete programming                     дискретное программирование
discrete range                           дискретный диапазон
discrete simulation                      дискретное моделирование
discretion                               осмотрительность,осторожность,свобода действий,усмотрение
discriminatad union                      размеченное объеденение
discriminate                             различать,распознавать,дискреминировать
discrimination                           проницательность,разборчивость,дискреминация
discrimination instruction               команда условного перехода
discus                                   диск
discuss                                  обсуждать,дискутировать
discussion                               обсуждение,прения,дискуссия
disdain                                  пренебрегать,пренебрежение,презрение
disdainful                               пренебрежительный,презрительный
disease                                  болезнь
diseased                                 больной
disembark                                выгружать,высаживать на берег,выгружаться,высаживаться на берег
disenchant                               разочаровывать,освобождать от чар
disengage                                высвобождать,выпутывать,отвязывать
disengaged                               свободный
disentangle                              распутывать,высвобождать
disfavour                                немилость,не одобрять
disfigure                                обезображивать,уродовать
disfigurement                            обезображивание,уродство
disfranchise                             лишать избирательного права или голоса
disgorge I                               извергать (лаву),изрыгать (пищу),впадать (река)
disgorge II                              неохотно отдавать
disgrace                                 немилость,позор,позорить
disgraceful                              бесчестный,позорный
disgruntled be                           быть не в духе
disguise                                 маскировать,скрывать,маскировка
disgust                                  отвращение,внушать отвращение
disgusting                               отвратительный,противный
dish                                     блюдо,тарелка,посуда,кушанье,класть на блюдо,подавать,провалить
dishcloth                                посудное (кухонное) полотенце
dishearten                               приводить в уныние,расхолаживать
disheveled                               растрепанный,взъерошанный
dishonest                                нечестный
dishonesty                               нечестность
dishonour                                бесчестить,позорить,оскорблять,бесчестие,позор
dishonourable                            бесчестный,позорный,подлый
dishwater                                помои
disillusion                              разочарование,разочаровывать
disinclination                           нежелание
disinclined be                           не иметь желания
disinfect                                дезинфецировать
disingenuous                             неискренний
disinherit                               лишать наследства
disinheritance                           лишение наследства
disintegrate                             разделять на составные части,распадаться на составные части
disintegration                           разложение на составные части
disinterested                            бескорыстный,беспристрастный
disjoin                                  разъединять,разобщать
disjoint                                 непересекающиеся
disjoint                                 разрезать (птицу),расчленять
disjointed                               несвязанный (речь)
disjunction                              дизъюнкция=логическое сложение
disjunctive search                       дизъюнктивный поиск
disk                                     диск,(грам)пластинка
disk cache                               буфер системы ввода-вывода, кеш диска
disk cartridge                           дисковый пакет, кассетный диск
disk controller                          дисковый контроллер, контроллер диска
disk drive                               дисковод
disk format                              разметка диска, формат диска
disk formatter                           форматер дисков
disk interleave                          Расположение секторов на диске, при котором нумерация секторов не совпадает с их физическим порядком на диске
disk quota                               выделенное дисковое пространство
disk sorting                             дисковая сортировка
disk unit                                дисковое запоминающее устройство
diskette                                 дискет(а), гибкий магнитный диск, флоппи-диск (floppy disk)
dislike                                  неприязнь,антипатия,не любить,испытывать неприязнь
dislocate                                вывихнуть,смещать,сдвигать
dislocation                              вывих,нарушение,смещение
dislodge                                 вытеснять,выбивать
disloyal                                 вероломный,предательский
dismal                                   гнетущий,мрачный
dismantle                                выносить,разоружать,расснащать,разбирать
dismay                                   страх,испуг,пугать,тревожить
dismember                                расчленять
dismemberment                            расчленение
dismiss                                  отпускать,увольнять,распускать,перестать думать
dismissal                                увольнение,роспуск
dismount                                 спешивать,снимать
disobedience                             непослушание
disobedient                              непослушный
disobey                                  ослушаться,не слушаться
disoblige                                поступать неучтиво,невежливо,не считаться
disorder                                 беспорядок,расстройство,волнения,расстраивать (здоровье)
disorderly                               беспорядочный,недисциплинированный
disorderly close-down                    аварийное завершение работы
disorganize                              расстраивать,дезорганизовывать
disorientate                             дезориентировать,сбивать с толку
disown                                   отказываться,отрекаться
disparage                                говорить с пренебрежением,умалять,недооценивать
disparity                                неравенство,несоответствие,несоразмерность
dispassionate                            беспристрастный
dispatch                                 посылать,быстро справляться,убивать,отправка,депеша
dispatcher                               диспетчер, планировщик нижнего уровня
dispatching                              диспетчеризация
dispel                                   разгонять,рассеивать
dispensable                              необязательный
dispensary                               аптека
dispensation                             раздача,распределение,разрешение
dispense                                 раздавать,распределять,приготовлять (лекарство)
dispense from                            освобождать (от обязательств)
dispenser                                фармацевт
dispersal                                рассеивание,распространение,рассыпание,разбрасывание
disperse                                 разгонять,рассеивать,распространять,рассыпаться,разбегаться
disperse array                           разреженный массив, разреженная матрица
dispersion I                             степень дисперсности,дисперсионный (о среде),диспергирование
dispersion II                            дисперсия,дисперсность
dispersion III                           рассеивание,распространение
dispirited                               удрученный,унылый
displace                                 смещать,перемещать,переставлять,вытеснять
displacement                             смещение
displacement                             смещение,перемещение,водоизмещение,сдвиг
display                                  1 дисплей;экран дисплея 2 отображение;изображение 3 таблица (внешних) контекстов 4 отображать, изображать
display I                                выставлять,показывать,проявлять,обнаруживать,выставка,показ
display II                               проявление,выставление напоказ,хвастовство
display attribute                        аттрибут элемента изображения
display capacity                         емкость дисплея
display command                          команда отображения
display console                          пульт отображения
display controller                       дисплейный контроллер, контроллер дисплея
display element                          элемент отображения
display field                            поле экрана дисплей; окно
display image                            отображаемое изображение, отображение
display processor                        дисплейный процессор
display surface                          поверхность отображения
display-oriented                         экранный
displease                                не нравиться,сердить,раздражать
displeasure                              неудовольствие,недовольство
disport oneself                          развлекаться
disposable                               доступный,могущий быть использованным
disposal                                 расположение,расстановка,распоряжение
dispose                                  располагать,расставлять,склонять
dispose of                               отделываться,распоряжаться
disposition                              характер,склонность,распоряжение,приготовления,планы
dispossess                               лишать собственности,владения
disproof                                 опровержение
disproportion                            непропорциональность,несоразмерность
disproportionate                         непропорциональный,несоразмерный
disprove                                 опровергать
disputable                               спорный
disputant                                спорщик,участник дипута
dispute I                                спорить,оспаривать,обсуждать,дискутировать
dispute II                               диспут,обсуждение,спор,пререкания,оказывать сопротивление
disqualification                         дисквалификация,лишение прав,непригодность
disqualify                               делать неспособным,дисквалифицировать
disquiet                                 беспокойство,тревога
disquisition                             исследование
disregard                                невнимание,пренебрежение,игнорировать,пренебрегать
disreputable                             пользующийся дурной репутацией,постыдный,позорный
disrepute                                дурная слава
disrespect                               неуважение,непочтительность
disrespectful                            непочтительный
disrupt                                  разрывать
disruption                               разрыв,раскол
dissatisfaction                          неудовлетворенность,недовольство
dissatisfied                             недовольный
dissatisfy                               не удовлетворять
dissect                                  анатомизировать,анализировать
dissemble                                скрывать (чувства)
disseminate                              распространять (учение)
dissension                               разногласие
dissent                                  расходиться в убеждениях,разногласие
dissenter                                сектант,раскольник
dissertation                             диссертация
disservice                               плохая услуга,ущерб
dissidence                               раскол,разногласие
dissidet                                 инакомыслящий,раскольник
dissimilar                               несходный
dissimilarity                            несходство
dissimulate                              скрывать (чувства),притворяться,лицемерить
dissipate                                рассеивать,разгонять,расточать,проматывать,кутить
dissipated                               распущенный,беспутный
dissociable                              необщительный
dissociate                               разъединять,разобщать
dissolute                                распущенный,развратный
dissolution                              растворение,разложение,расторжение,роспуск
dissolve                                 растворять,растворяться,разлагать,расторгать,распускать
dissonance                               неблагозвучие,диссонанс
dissonant                                нестройный
dissuade                                 отговаривать,отсоветовать
distance                                 расстояние,промежуток,обойти,обогнать
distant                                  отдаленный,дальний,сдержанный
distaste                                 отвращение
distasteful                              неприятный,противный
distemper                                клеевая краска,красить клеевой краской
distend                                  надувать (шар),раздувать,растягивать
distensible                              растяжимый
distension                               растяжение,расширение
distil                                   дистилировать,очищать,опреснять,перегонять,сочинять,капать
distiller                                винокур
distillery                               винокуренный завод
distinct                                 отчетливый,ясный,отличный
distinction                              различие,отличие,выдающиеся качества,оригинальность
distinctive                              отличительный,характерный
distinctly                               ясно,отчетливо
distinguish                              различать,отличать
distinguished                            видный,заслуженный,выдающийся
distort                                  искривлять,искажать
distortion                               искривление,искажение
distract                                 отвлекать,приводить в смятение
distracted                               рассеяный,обезумевший
distraction                              развлечение,отвлечение внимания,сумашествие
distrait                                 рассеяный
distraught                               обезумевший,потерявший рассудок
distress                                 горе,бедствие,нужда,истощение,утомление,огорчать,терзать
distressed                               огорченный,утомленный
distressful                              многострадальный,скорбный,горестный
distribute                               распределять,раздавать
distributed array processor              распределенный векторный процессор.
distributed data base                    распределенная база данных
distributed file system                  распределенная файловая система
distributed intellegence                 распределенное управление
distributed logic                        распределенное управление
distributed processing                   распределенная обработка
distributed routing                      распределенная маршрутизация
distributed system                       распределенная (вычислительная) система
distribution                             распределение,расдача,распространение
distribution kit                         дистрибутивный комплект, дистрибутив
distribution tape                        дистрибутивная лента, дистрибутив
distributive                             распределительный,разделительный
distributor                              распределитель (зажигания)
district                                 район,округ
distrust                                 недоверие,сомнение,не доверять
distrustful                              недоверчивый
disturb                                  беспокоить,мешать,расстраивать,нарушать (покой)
disturbance                              беспокойство,волнение,нарушение (порядка)
disunion                                 разъединение,разобщение,разлад
disunite                                 разъединять,разъединяться
disuse                                   переставать пользоваться,неупотребление
ditch                                    канава,ров,окапывать,угробить,разбить (машину)
ditto                                    то же (самое)
ditty                                    песенка
divan                                    диван,диван (государственный совет на востоке)
dive I                                   ныряние,специализированная закусочная,пивнушка
dive II                                  нырять,погружаться,углубляться,запускать руку,пикировать
diver                                    водолаз,искатель жемчуга,ловец губок
diverge                                  расходиться,отклоняться
divergence                               расхождение
divers                                   разные
diverse                                  разный,отличный
diversify                                разнообразить
diversion                                отклонение,отвлечение (внимания),развлечение,диверсия
diversity                                различие,разнообразие
divert                                   отклонять,отвлекать (внимания),забавлять,развлекать
divest                                   раздевать,разоблачать,лишать
divestment                               раздевание,лишение (прав)
divide                                   делить,отделять,расходиться (во взглядах),разделять,разъелинять
dividend                                 делимое
dividend                                 дивидент,делимое
dividers                                 циркуль-измеритель
divine                                   божественный,превосходный,богослов,угадывать,предсказывать
divinity                                 божество,блгословие
divisible                                делимый
division                                 деление,разделение,часть,отдел,дивизия,разногласие,разлад
division header                          заголовок раздела
divisional                               дивизионный
divisor                                  делитель
divorce                                  развод,расторжение брака,разъединение,расторгать брак,отделять
divulge                                  разглашать (тайну)
dixie                                    южные штаты сша,кухонный котел,походный котелок
dixy                                     кухонный котел,походный котелок
dizziness                                головокружение
dizzy                                    испытывать головокружение,головокружительный,вызывать головокружение
dnieper                                  днепр
dniester                                 днестр
do I                                     делать,поступать,выполнять,годиться,подходить,быть достаточным
do II                                    нота до,обман,мошейничество,вечеринка,обманывать,мистифицировать
do a room                                убирать комнату
do away                                  покончить,уничтожить,отменять
do for                                   погибать,быть совершенно не годным
do harm                                  причинять вред
do up                                    приводить в порядок,завертывать
do well                                  преуспевать,успешно вести дела
do with                                  терпеть,выносить,довольствоваться
do without                               обходиться
do-nothing instruction                   пустая команда, НОП
docile                                   понятливый,послушный
docility                                 понятливость,послушание
dock I                                   скамья подсудимых,док,ставить судно в док
dock II                                  щавель,обрубать (хвост),коротко стричь,сокращать,уменьшать
docker                                   докер,рабочий в доке
docket                                   надпись на документе,делать надпись,выписку
doctor                                   врач,доктор,лечить,чинить на скорую руку,подделывать
doctoral                                 докторский
doctorate                                докторская степень
doctrinaire                              доктринер
doctrinal                                относяшийся к доктрине
doctrine                                 учение,доктрина,вера,догма
document                                 документ,свидетельство,снабжать документами или доказательствами
document compiler                        пакетный форматер; программа форматирования
documentary                              документальный,документальный фильм
dodder                                   ковылять
dodge                                    увертка,уловка,увертываться,увиливать
doe                                      самка
doeskin                                  оленья кожа,замша
doff                                     снимать (одежду)
dog                                      собака,ходить по пятам
dog days                                 жаркие летние дни
dog eared book                           потрепанная книга
dogged                                   упорный,упрямый
doggie                                   собачка
dogma                                    догма,догмат
dogmatic                                 догматический
doings                                   дела,поступки,затейливые блюда
doldrums in the                          не в духе
dole                                     пособие по безработице,горе
dole out                                 раздавать
doleful                                  скорбный
doll                                     кукла
dollar                                   доллар
dolly                                    куколка
dolorous                                 печальный
dolphin                                  дельфин
dolt                                     болван
domain                                   домен, область определения
domain                                   владения,имение,область,сфера
domain expert                            специалист по проблемной области
domain knowledge                         знания проблемной области
domain-specific                          проблемно-зависимый
dome                                     купол,величественное здание
domestic                                 домашний,внутренний,отечественный,ручной,прислуга
domesticate                              выращивать,культивировать,приручать
domicile                                 постоянное местожительство,жилище
dominant                                 господствующий,доминанта
dominate                                 господствовать,преобладать,возвышаться
domination                               господство
domineer                                 властвовать,господствовать,тиранить
dominican republic                       доминиканская республика
dominion                                 владычество,доминион,владение
domino                                   домино
don                                      дон,преподаватель,надевать
donate                                   дарить,жертвовать
donation                                 дар,пожертвование
donkey                                   осел
donor                                    жертвователь,донор
doom                                     рок,гибель,обрекать
doomsday                                 до второго пришествия
door                                     дверь
doorkeeper                               привратник
doorstep                                 порог
doorway                                  вход
dope                                     смазка,паста,наркотик,дурман,информация,дурак,одурманивать
dope fiend                               наркоман
dope vector                              дескриптор массива
dormant                                  бездействующий,дремлющий,находящийся в спячке
dormant task                             остановленная задача
dormer window                            слуховое окно
dormitory                                общая спальня
dosage                                   дозировка,доза
dose                                     доза,давать лекарство дозами
doss house                               ночлежный дом
dot                                      точка,ставить точки над и,отмечать пунктиром,усеивать
dot matrix character generator           растровый генератор символов
dot pattern                              растр, точечная матрица
dot product                              скалярное (внутреннее) произведение
dot-addressable                          с поточечной адресацией
dot-matrix                               растр, точечная матрица
dot-matrix display                       растровый дисплей
dot-matrix printer                       матричное печатающее устройство
dotage                                   старческое слабоумие
dote                                     любить до безумия
dotted pair                              точечная пара
dotty                                    усеянный точками,рехнувшийся
double I                                 удваивать,складывать вдвое,дублировать,сжимать
double II                                двойной,двойственный,вдвое,вдвоем,двойное количество,двойник
double address instruction               двухадресная команда
double barrelled                         двуствольный,двусмысленный
double breasted                          двубортный
double dealer                            двурушник
double dealing                           двурушничество
double density disk                      диск для записи с удвоенной плотностью
double faced                             двуличный
double precision                         удвоенная точность; двойная точность
double precision arithmetic              арифметика с двойной точностью
double up                                скрючиться,корчиться
double word (d-word)                     двойное слово
double-level grammar                     двух-уровневая грамматика;грамматика ван Вейгартена
double-precision number                  число с двойной точностью
doubly                                   вдвойне,вдвое
doubt                                    сомнение,сомневаться,не доверять
doubtful                                 сомнительный,недостоверный
doubtless                                несомненный
douche                                   обливание,промывание
dough                                    тесто,паста,деньги
doughboy                                 пехотинец
doughnut                                 пончик
doughy                                   тестообразный,плохо пропеченный
dour                                     суровый,упрямый
dove                                     голубь
dove cot                                 голубятня
dove cote                                голубятня
dover                                    дувр
dovetail                                 соединять ласточкиным хвостом,согласовывать,увязывать
dowdy                                    старомодный,безвкусный
down                                     холмистая местность,возвышенность,пух,вниз,по,внизу
down operation                           операция "занять", занятие (семафора)
downcast                                 потупленный,удрученный,подавленный
downfall                                 ливень,сильный снегопад,падение,ниспровержение
downflow                                 нисходящий (направленный вниз) поток
downhearted                              упавший духом
downhill                                 покатый,под гору,вниз
downline                                 от главной ЭВМ (о передаче информации)
downline loading                         загрузка  по линии связи
download                                 загружать, пересылать (по линии связи)
downpour                                 ливень
downright                                прямой,откровенный,честный,явный,совершенно
downstairs                               вниз,внизу,в нижнем этаже,расположенный в нижнем этаже
downstream                               вниз по течению
downtime                                 простой, время простоя
downtown                                 деловая часть города
downtrodden                              угнетенный
downward                                 спускающийся,ухудшающийся
downwards                                вниз,книзу
downy                                    пушистый,мягкий как пух
dowry                                    приданое,природный дар,талант
doze                                     дремать,дремота
dozen                                    дюжина
drab                                     тусклокоричневый,скучный,однообразие
draft I                                  чертеж,план,эскиз,черновик,проект,набросок,чек,трата
draft II                                 набросать,сделать чертеж,призыв,набор в армию
draft quality                            черновой
draft report                             предварительное сообщение
draftsman                                чертежник,составитель документа,автор законопроекта
drag I                                   тащить,волочить,тащиться,волочится,драга,землечерпалка
drag II                                  тормоз,торможение,обуза,бремя
drag on                                  тянуться (о времени)
drag out                                 тянуть,вытаскивать
drag up                                  грубо воспитывать
dragging                                 перемещение, "буксировка"
draggle                                  пачкать (волоча по земле),тащиться в хвосте
dragon                                   дракон
dragon fly                               стрекоза
dragoon                                  драгун,принудить (посредством репрессии и т п)
drain I                                  дренажная труба,канава,расход,истощение,глоток
drain II                                 дренировать,осушать,стекать в реку,истощать,пить до дна
drainage                                 дренаж,осушение
dram                                     глоток спиртного
drama                                    драма
dramatic                                 драматический
dramaties                                драматическое искусство,спектакль
dramatist                                драматург
dramatize                                инсценировать
drape                                    драпировать
drapery                                  драпировка ткани
drastic                                  сильнодействующий (о лекарствах),решительный (о мерах)
draught                                  сквозняк,тяга (воздуха),тяга,глоток,шашки,чертеж
draught board                            шашечная доска,чертежная доска
draught horse                            ломовая лошадь
draughtsman                              шашка (в игре)
draw I                                   черпать (вдохновение),задергивать,настаивать
draw II                                  привлекать (внимание),получать,добывать (информацию)
draw III                                 вытягивание,жеребьевка,лотерея,приманка,игра вничью
draw IV                                  тащить,волочить,вести,тянуть,бросать (жребий)
draw IV                                  чертить,рисовать,выписывать чек
draw back                                отступать
draw in                                  вовлекать,укорачиваться (о днях)
draw off                                 отводить (войска)
draw on                                  натягивать (перчатки),наступать,приближаться
draw out                                 удлиняться (о днях)
draw up                                  составлять (документ),выстраиваться,останавливаться
drawback                                 недостаток,отрицательная сторона,препятствие,помеха,уступка
drawbridge                               подъемный мост,разводной мост
drawer                                   выдвижной ящик,чертежник,рисовальщик
drawers                                  кальсоны
drawing                                  рисунок,рисование,черчение
drawing board                            чертежная доска
drawing pen                              рейсфедер
drawing pin                              канцелярская кнопка
drawing room                             гостиная
drawl                                    протяжное произношение,растягивать слова
dray                                     подвода
dread                                    страшиться,страх
dreadful                                 ужасный,страшный
dream I                                  сон,мечта,греза
dream II                                 видеть во сне,мечтать,воображать,грезить
dreamy                                   мечтательный
dreary                                   мрачный,унылый
dredge                                   драга
dredger                                  землечерпалка
